year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,candidate_num,party,writein,mode,candidatevotes,totalvotes,unofficial,version,Vote_Percent,candidate_scale,Vote_Percent_abs,Party_Label,text,Points,Year_Abrv
1976,Arizona,AZ,4,86,61,US Senate,statewide,gen,FALSE,Sam Steiger,-1,republican,FALSE,total,321236,741210,FALSE,20171011,-0.433394045,-1,0.433394045,R,Sam Steiger (R) 43.3%<br>,43.3%,76
1976,Arizona,AZ,4,86,61,US Senate,statewide,gen,FALSE,Wm. Mathews Feighan,3,independent,FALSE,total,1565,741210,FALSE,20171011,0.002111412,1,0.002111412,I,Wm. Mathews Feighan (I) 0.2%<br>,0.2%,76
1976,Arizona,AZ,4,86,61,US Senate,statewide,gen,FALSE,Dennis DeConcini,2,democrat,FALSE,total,400334,741210,FALSE,20171011,0.540108741,1,0.540108741,D,Dennis DeConcini (D) 54%<br>,54%,76
1976,Arizona,AZ,4,86,61,US Senate,statewide,gen,FALSE,Allan Norwitz,4,libertarian,FALSE,total,7310,741210,FALSE,20171011,0.009862252,1,0.009862252,L,Allan Norwitz (L) 1%<br>,1%,76
1976,Arizona,AZ,4,86,61,US Senate,statewide,gen,FALSE,Bob Field,3,independent,FALSE,total,10765,741210,FALSE,20171011,0.014523549,1,0.014523549,I,Bob Field (I) 1.5%<br>,1.5%,76
1976,California,CA,6,93,71,US Senate,statewide,gen,FALSE,Jack McCoy,4,american independent,FALSE,total,82739,7470586,FALSE,20171011,0.011075303,1,0.011075303,Other,Jack McCoy (Other) 1.1%<br>,1.1%,76
1976,California,CA,6,93,71,US Senate,statewide,gen,FALSE,S. I. (Sam) Hayakawa,-1,republican,FALSE,total,3748973,7470586,FALSE,20171011,-0.501831182,-1,0.501831182,R,S. I. (Sam) Hayakawa (R) 50.2%<br>,50.2%,76
1976,California,CA,6,93,71,US Senate,statewide,gen,FALSE,John V. Tunney,2,democrat,FALSE,total,3502862,7470586,FALSE,20171011,0.46888718,1,0.46888718,D,John V. Tunney (D) 46.9%<br>,46.9%,76
1976,California,CA,6,93,71,US Senate,statewide,gen,FALSE,Omari Musa,3,independent,FALSE,total,31629,7470586,FALSE,20171011,0.004233804,1,0.004233804,I,Omari Musa (I) 0.4%<br>,0.4%,76
1976,California,CA,6,93,71,US Senate,statewide,gen,FALSE,David Wald,4,peace and freedom,FALSE,total,104383,7470586,FALSE,20171011,0.013972532,1,0.013972532,Other,David Wald (Other) 1.4%<br>,1.4%,76
1976,Connecticut,CT,9,16,1,US Senate,statewide,gen,FALSE,"Lowell P. Weicker, Jr.",-1,republican,FALSE,total,785683,1361666,FALSE,20171011,-0.577001262,-1,0.577001262,R,"Lowell P. Weicker, Jr. (R) 57.7%<br>",57.7%,76
1976,Connecticut,CT,9,16,1,US Senate,statewide,gen,FALSE,scatter,4,,FALSE,total,558,1361666,FALSE,20171011,0.000409792,1,0.000409792,Other,scatter (Other) 0%<br>,0%,76
1976,Connecticut,CT,9,16,1,US Senate,statewide,gen,FALSE,Robert Barnabei,4,american independent,FALSE,total,14407,1361666,FALSE,20171011,0.010580421,1,0.010580421,Other,Robert Barnabei (Other) 1.1%<br>,1.1%,76
1976,Connecticut,CT,9,16,1,US Senate,statewide,gen,FALSE,Gloria Schaffer,2,democrat,FALSE,total,561018,1361666,FALSE,20171011,0.412008525,1,0.412008525,D,Gloria Schaffer (D) 41.2%<br>,41.2%,76
1976,Delaware,DE,10,51,11,US Senate,statewide,gen,FALSE,Thomas C. Maloney,2,democrat,FALSE,total,98042,224795,FALSE,20171011,0.436139594,1,0.436139594,D,Thomas C. Maloney (D) 43.6%<br>,43.6%,76
1976,Delaware,DE,10,51,11,US Senate,statewide,gen,FALSE,"William V. Roth, Jr.",-1,republican,FALSE,total,125454,224795,FALSE,20171011,-0.558081808,-1,0.558081808,R,"William V. Roth, Jr. (R) 55.8%<br>",55.8%,76
1976,Delaware,DE,10,51,11,US Senate,statewide,gen,FALSE,Donald G. Gies,4,american,FALSE,total,646,224795,FALSE,20171011,0.002873729,1,0.002873729,Other,Donald G. Gies (Other) 0.3%<br>,0.3%,76
1976,Delaware,DE,10,51,11,US Senate,statewide,gen,FALSE,John A. Massimilla,4,prohibition,FALSE,total,216,224795,FALSE,20171011,0.000960875,1,0.000960875,Other,John A. Massimilla (Other) 0.1%<br>,0.1%,76
1976,Delaware,DE,10,51,11,US Senate,statewide,gen,FALSE,Joseph F. McInerney,4,none,FALSE,total,437,224795,FALSE,20171011,0.001943993,1,0.001943993,Other,Joseph F. McInerney (Other) 0.2%<br>,0.2%,76
1976,Florida,FL,12,59,43,US Senate,statewide,gen,FALSE,Lawton Chiles,2,democrat,FALSE,total,1799518,2857534,FALSE,20171011,0.629745088,1,0.629745088,D,Lawton Chiles (D) 63%<br>,63%,76
1976,Florida,FL,12,59,43,US Senate,statewide,gen,FALSE,scatter,4,,FALSE,total,130,2857534,FALSE,20171011,4.54938E-05,1,4.54938E-05,Other,scatter (Other) 0%<br>,0%,76
1976,Florida,FL,12,59,43,US Senate,statewide,gen,FALSE,John Grady,-1,republican,FALSE,total,1057886,2857534,FALSE,20171011,-0.370209418,-1,0.370209418,R,John Grady (R) 37%<br>,37%,76
1976,Hawaii,HI,15,95,82,US Senate,statewide,gen,FALSE,Spark M. Matsunaga,2,democrat,FALSE,total,162305,302092,FALSE,20171011,0.537270103,1,0.537270103,D,Spark M. Matsunaga (D) 53.7%<br>,53.7%,76
1976,Hawaii,HI,15,95,82,US Senate,statewide,gen,FALSE,James D. Kimmel,3,independent,FALSE,total,1433,302092,FALSE,20171011,0.004743588,1,0.004743588,I,James D. Kimmel (I) 0.5%<br>,0.5%,76
1976,Hawaii,HI,15,95,82,US Senate,statewide,gen,FALSE,William Quinn,-1,republican,FALSE,total,122724,302092,FALSE,20171011,-0.406247104,-1,0.406247104,R,William Quinn (R) 40.6%<br>,40.6%,76
1976,Hawaii,HI,15,95,82,US Senate,statewide,gen,FALSE,Anthony N. Hodges,4,prohibition,FALSE,total,14226,302092,FALSE,20171011,0.047091614,1,0.047091614,Other,Anthony N. Hodges (Other) 4.7%<br>,4.7%,76
1976,Hawaii,HI,15,95,82,US Senate,statewide,gen,FALSE,Rockne Johnson,4,libertarian,FALSE,total,1404,302092,FALSE,20171011,0.004647591,1,0.004647591,L,Rockne Johnson (L) 0.5%<br>,0.5%,76
1976,Indiana,IN,18,32,22,US Senate,statewide,gen,FALSE,Richard G. Lugar,-1,republican,FALSE,total,1275833,2161187,FALSE,20171011,-0.590339013,-1,0.590339013,R,Richard G. Lugar (R) 59%<br>,59%,76
1976,Indiana,IN,18,32,22,US Senate,statewide,gen,FALSE,Vance Hartke,2,democrat,FALSE,total,868522,2161187,FALSE,20171011,0.401872675,1,0.401872675,D,Vance Hartke (D) 40.2%<br>,40.2%,76
1976,Indiana,IN,18,32,22,US Senate,statewide,gen,FALSE,Don L. Lee,3,independent,FALSE,total,14321,2161187,FALSE,20171011,0.006626451,1,0.006626451,I,Don L. Lee (I) 0.7%<br>,0.7%,76
1976,Indiana,IN,18,32,22,US Senate,statewide,gen,FALSE,David Lee Hoagland,4,u.s. labor,FALSE,total,2511,2161187,FALSE,20171011,0.001161862,1,0.001161862,Other,David Lee Hoagland (Other) 0.1%<br>,0.1%,76
1976,Maine,ME,23,11,2,US Senate,statewide,gen,FALSE,Robert A. G. Monks,-1,republican,FALSE,total,193489,486193,FALSE,20171011,-0.397967474,-1,0.397967474,R,Robert A. G. Monks (R) 39.8%<br>,39.8%,76
1976,Maine,ME,23,11,2,US Senate,statewide,gen,FALSE,Edmund S. Muskie,2,democrat,FALSE,total,292704,486193,FALSE,20171011,0.602032526,1,0.602032526,D,Edmund S. Muskie (D) 60.2%<br>,60.2%,76
1976,Maryland,MD,24,52,52,US Senate,statewide,gen,FALSE,"J. Glenn Beall, Jr.",-1,republican,FALSE,total,530439,1365290,FALSE,20171011,-0.388517458,-1,0.388517458,R,"J. Glenn Beall, Jr. (R) 38.9%<br>",38.9%,76
1976,Maryland,MD,24,52,52,US Senate,statewide,gen,FALSE,Paul S. Sarbanes,2,democrat,FALSE,total,772101,1365290,FALSE,20171011,0.565521611,1,0.565521611,D,Paul S. Sarbanes (D) 56.6%<br>,56.6%,76
1976,Maryland,MD,24,52,52,US Senate,statewide,gen,FALSE,Bruce Bradley,3,independent,FALSE,total,62750,1365290,FALSE,20171011,0.045960931,1,0.045960931,I,Bruce Bradley (I) 4.6%<br>,4.6%,76
1976,Massachusetts,MA,25,14,3,US Senate,statewide,gen,FALSE,Carol Henderson Evans,4,socialist workers,FALSE,total,26283,2491255,FALSE,20171011,0.010550104,1,0.010550104,Other,Carol Henderson Evans (Other) 1.1%<br>,1.1%,76
1976,Massachusetts,MA,25,14,3,US Senate,statewide,gen,FALSE,scatter,4,,FALSE,total,157,2491255,FALSE,20171011,6.30204E-05,1,6.30204E-05,Other,scatter (Other) 0%<br>,0%,76
1976,Massachusetts,MA,25,14,3,US Senate,statewide,gen,FALSE,Michael S. Robertson,-1,republican,FALSE,total,722641,2491255,FALSE,20171011,-0.290071069,-1,0.290071069,R,Michael S. Robertson (R) 29%<br>,29%,76
1976,Massachusetts,MA,25,14,3,US Senate,statewide,gen,FALSE,H. Graham Lowry,4,u.s. labor,FALSE,total,15517,2491255,FALSE,20171011,0.006228588,1,0.006228588,Other,H. Graham Lowry (Other) 0.6%<br>,0.6%,76
1976,Massachusetts,MA,25,14,3,US Senate,statewide,gen,FALSE,Edward M. Kennedy,2,democrat,FALSE,total,1726657,2491255,FALSE,20171011,0.693087219,1,0.693087219,D,Edward M. Kennedy (D) 69.3%<br>,69.3%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Bette Jane Erwin,4,libertarian,FALSE,total,8842,3490412,FALSE,20171011,0.002533225,1,0.002533225,L,Bette Jane Erwin (L) 0.3%<br>,0.3%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Theodore G. Albert,4,human rights,FALSE,total,7281,3490412,FALSE,20171011,0.002086,1,0.002086,Other,Theodore G. Albert (Other) 0.2%<br>,0.2%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Marvin L. Esch,-1,republican,FALSE,total,1635087,3490412,FALSE,20171011,-0.468451002,-1,0.468451002,R,Marvin L. Esch (R) 46.8%<br>,46.8%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,"Donald W. Riegle, Jr.",2,democrat,FALSE,total,1831031,3490412,FALSE,20171011,0.524588788,1,0.524588788,D,"Donald W. Riegle, Jr. (D) 52.5%<br>",52.5%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Frank Girard,4,socialist labor,FALSE,total,2554,3490412,FALSE,20171011,0.000731719,1,0.000731719,Other,Frank Girard (Other) 0.1%<br>,0.1%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Paula L. Reimers,4,socialist workers,FALSE,total,3399,3490412,FALSE,20171011,0.000973811,1,0.000973811,Other,Paula L. Reimers (Other) 0.1%<br>,0.1%,76
1976,Michigan,MI,26,34,23,US Senate,statewide,gen,FALSE,Peter A. Signorelli,4,u.s. labor,FALSE,total,2218,3490412,FALSE,20171011,0.000635455,1,0.000635455,Other,Peter A. Signorelli (Other) 0.1%<br>,0.1%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Robin E. Miller,4,libertarian,FALSE,total,5476,1912020,FALSE,20171011,0.002863987,1,0.002863987,L,Robin E. Miller (L) 0.3%<br>,0.3%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Bill Peterson,4,socialist workers,FALSE,total,9380,1912020,FALSE,20171011,0.004905806,1,0.004905806,Other,Bill Peterson (Other) 0.5%<br>,0.5%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Matt Savola,4,communist,FALSE,total,2214,1912020,FALSE,20171011,0.001157938,1,0.001157938,Other,Matt Savola (Other) 0.1%<br>,0.1%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Jerry Brekke,-1,republican,FALSE,total,478602,1912020,FALSE,20171011,-0.250312235,-1,0.250312235,R,Jerry Brekke (R) 25%<br>,25%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Paul Helm,4,american,FALSE,total,125612,1912020,FALSE,20171011,0.065695966,1,0.065695966,Other,Paul Helm (Other) 6.6%<br>,6.6%,76
1976,Minnesota,MN,27,41,33,US Senate,statewide,gen,FALSE,Hubert H. Humphrey,2,democrat,FALSE,total,1290736,1912020,FALSE,20171011,0.675064068,1,0.675064068,D,Hubert H. Humphrey (D) 67.5%<br>,67.5%,76
1976,Mississippi,MS,28,64,46,US Senate,statewide,gen,FALSE,John C. Stennis,2,democrat,FALSE,total,554433,554433,FALSE,20171011,1,1,1,D,John C. Stennis (D) 100%<br>,100%,76
1976,Missouri,MO,29,43,34,US Senate,statewide,gen,FALSE,John C. Danforth,-1,republican,FALSE,total,1090067,1914460,FALSE,20171011,-0.569386145,-1,0.569386145,R,John C. Danforth (R) 56.9%<br>,56.9%,76
1976,Missouri,MO,29,43,34,US Senate,statewide,gen,FALSE,Warren E. Hearnes,2,democrat,FALSE,total,813571,1914460,FALSE,20171011,0.424961086,1,0.424961086,D,Warren E. Hearnes (D) 42.5%<br>,42.5%,76
1976,Missouri,MO,29,43,34,US Senate,statewide,gen,FALSE,Lawrene (Red) Petty,3,independent,FALSE,total,10822,1914460,FALSE,20171011,0.005652769,1,0.005652769,I,Lawrene (Red) Petty (I) 0.6%<br>,0.6%,76
1976,Montana,MT,30,81,64,US Senate,statewide,gen,FALSE,Stanley C. Burger,-1,republican,FALSE,total,115213,321445,FALSE,20171011,-0.358422125,-1,0.358422125,R,Stanley C. Burger (R) 35.8%<br>,35.8%,76
1976,Montana,MT,30,81,64,US Senate,statewide,gen,FALSE,John Melcher,2,democrat,FALSE,total,206232,321445,FALSE,20171011,0.641577875,1,0.641577875,D,John Melcher (D) 64.2%<br>,64.2%,76
1976,Nebraska,NE,31,46,35,US Senate,statewide,gen,FALSE,NA,4,NA,TRUE,total,58,593310,FALSE,20171011,9.77567E-05,1,9.77567E-05,Other,NA (Other) 0%<br>,0%,76
1976,Nebraska,NE,31,46,35,US Senate,statewide,gen,FALSE,scatter,4,,FALSE,total,163,593310,FALSE,20171011,0.00027473,1,0.00027473,Other,scatter (Other) 0%<br>,0%,76
1976,Nebraska,NE,31,46,35,US Senate,statewide,gen,FALSE,John Y. McCollister,-1,republican,FALSE,total,279284,593310,FALSE,20171011,-0.470721882,-1,0.470721882,R,John Y. McCollister (R) 47.1%<br>,47.1%,76
1976,Nebraska,NE,31,46,35,US Senate,statewide,gen,FALSE,Edward Zorinsky,2,democrat,FALSE,total,313805,593310,FALSE,20171011,0.528905631,1,0.528905631,D,Edward Zorinsky (D) 52.9%<br>,52.9%,76
1976,Nevada,NV,32,88,65,US Senate,statewide,gen,FALSE,Byron D. Young,3,independent american,FALSE,total,3619,201899,FALSE,20171011,0.017924804,1,0.017924804,I,Byron D. Young (I) 1.8%<br>,1.8%,76
1976,Nevada,NV,32,88,65,US Senate,statewide,gen,FALSE,David Towell,-1,republican,FALSE,total,63471,201899,FALSE,20171011,-0.314370056,-1,0.314370056,R,David Towell (R) 31.4%<br>,31.4%,76
1976,Nevada,NV,32,88,65,US Senate,statewide,gen,FALSE,Other,4,,FALSE,total,5288,201899,FALSE,20171011,0.026191313,1,0.026191313,Other,Other (Other) 2.6%<br>,2.6%,76
1976,Nevada,NV,32,88,65,US Senate,statewide,gen,FALSE,Dan Becan,4,libertarian,FALSE,total,2307,201899,FALSE,20171011,0.011426505,1,0.011426505,L,Dan Becan (L) 1.1%<br>,1.1%,76
1976,Nevada,NV,32,88,65,US Senate,statewide,gen,FALSE,Howard W. Cannon,2,democrat,FALSE,total,127214,201899,FALSE,20171011,0.630087321,1,0.630087321,D,Howard W. Cannon (D) 63%<br>,63%,76
1976,New Jersey,NJ,34,22,12,US Senate,statewide,gen,FALSE,Leif Johnson,4,labor,FALSE,total,6650,2771390,FALSE,20171011,0.002399518,1,0.002399518,Other,Leif Johnson (Other) 0.2%<br>,0.2%,76
1976,New Jersey,NJ,34,22,12,US Senate,statewide,gen,FALSE,Hannibal Cundari,4,libertarian,FALSE,total,19907,2771390,FALSE,20171011,0.007183038,1,0.007183038,L,Hannibal Cundari (L) 0.7%<br>,0.7%,76
